Threshold,Target,Model,Metrics,Accuracy
3dB,BCI,KNN,SignalDetected,0.5238095238095238
3dB,ITR,KNN,SignalDetected,0.6190476190476191
3dB,BCI,KNN,AvgPower,0.6190476190476191
3dB,ITR,KNN,AvgPower,0.19047619047619047
3dB,BCI,KNN,PowerVariability,0.47619047619047616
3dB,ITR,KNN,PowerVariability,0.38095238095238093
3dB,BCI,KNN,DetectedTimePercentage,0.5238095238095238
3dB,ITR,KNN,DetectedTimePercentage,0.14285714285714285
3dB,BCI,KNN,DetectionTime,0.3333333333333333
3dB,ITR,KNN,DetectionTime,0.19047619047619047
3dB,BCI,KNN,DetectionRate,0.5714285714285714
3dB,ITR,KNN,DetectionRate,0.6190476190476191
3dB,BCI,KNN,DetectionPctVar,0.38095238095238093
3dB,ITR,KNN,DetectionPctVar,0.19047619047619047
3dB,BCI,KNN,EarlyDetectionRatio,0.5238095238095238
3dB,ITR,KNN,EarlyDetectionRatio,0.19047619047619047
3dB,BCI,KNN,PowerSkewness,0.38095238095238093
3dB,ITR,KNN,PowerSkewness,0.47619047619047616
3dB,BCI,KNN,RobustnessIndex,0.2857142857142857
3dB,ITR,KNN,RobustnessIndex,0.09523809523809523
3dB,BCI,KNN,FreqEntropy,0.5238095238095238
3dB,ITR,KNN,FreqEntropy,0.3333333333333333
3dB,BCI,KNN,StrongResponses,0.42857142857142855
3dB,ITR,KNN,StrongResponses,0.14285714285714285
3dB,BCI,KNN,SignalDetected + AvgPower,0.6190476190476191
3dB,ITR,KNN,SignalDetected + AvgPower,0.38095238095238093
3dB,BCI,KNN,SignalDetected + PowerVariability,0.5238095238095238
3dB,ITR,KNN,SignalDetected + PowerVariability,0.3333333333333333
3dB,BCI,KNN,SignalDetected + DetectedTimePercentage,0.6666666666666666
3dB,ITR,KNN,SignalDetected + DetectedTimePercentage,0.23809523809523808
3dB,BCI,KNN,SignalDetected + DetectionTime,0.6666666666666666
3dB,ITR,KNN,SignalDetected + DetectionTime,0.3333333333333333
3dB,BCI,KNN,SignalDetected + DetectionRate,0.5714285714285714
3dB,ITR,KNN,SignalDetected + DetectionRate,0.6190476190476191
3dB,BCI,KNN,SignalDetected + DetectionPctVar,0.7142857142857143
3dB,ITR,KNN,SignalDetected + DetectionPctVar,0.47619047619047616
3dB,BCI,KNN,SignalDetected + EarlyDetectionRatio,0.47619047619047616
3dB,ITR,KNN,SignalDetected + EarlyDetectionRatio,0.3333333333333333
3dB,BCI,KNN,SignalDetected + PowerSkewness,0.5238095238095238
3dB,ITR,KNN,SignalDetected + PowerSkewness,0.47619047619047616
