Subject,Trial,Freq,SignalDetected,AvgPower,PowerVariability,DetectedTimePercentage_1dB,DetectionTime_1dB,DetectedTimePercentage_3dB,DetectionTime_3dB,DetectedTimePercentage_5dB,DetectionTime_5dB
1,0,8.0,0,7.01,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,8.0,0,9.17,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,8.0,0,6.41,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,8.0,0,8.69,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,8.2,0,11.09,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,8.2,0,7.73,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,8.2,0,0.78,0.00,0.00,nan,0.00,nan,0.00,nan
1,3,8.2,0,9.72,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,8.4,0,6.88,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,8.4,0,8.14,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,8.4,0,10.28,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,8.4,0,6.66,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,8.6,0,5.15,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,8.6,0,-3.73,0.00,0.00,nan,0.00,nan,0.00,nan
1,2,8.6,0,0.08,0.00,0.00,nan,0.00,nan,0.00,nan
1,3,8.6,0,6.28,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,8.8,0,-1.74,0.00,0.00,nan,0.00,nan,0.00,nan
1,1,8.8,0,-6.42,0.00,0.00,nan,0.00,nan,0.00,nan
1,2,8.8,0,9.93,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,8.8,0,7.86,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,9.0,0,9.69,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,9.0,0,7.13,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,9.0,0,9.85,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,9.0,0,5.36,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,9.2,0,9.35,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,9.2,0,11.44,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,9.2,0,6.72,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,9.2,0,10.06,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,9.4,0,7.96,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,9.4,0,9.95,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,9.4,0,0.43,0.00,0.00,nan,0.00,nan,0.00,nan
1,3,9.4,1,6.13,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,9.6,1,14.61,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,9.6,0,14.56,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,9.6,0,9.58,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,9.6,0,10.74,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,9.8,0,10.16,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,9.8,0,9.00,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,9.8,0,10.83,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,9.8,0,6.90,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,10.0,0,6.80,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,10.0,1,13.49,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,10.0,0,11.26,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,10.0,0,11.17,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,10.2,1,8.09,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,10.2,0,1.59,0.00,100.00,0.00,0.00,nan,0.00,nan
1,2,10.2,0,6.62,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,10.2,0,10.85,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,10.4,1,11.63,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,10.4,0,7.11,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,10.4,0,1.21,0.00,100.00,0.00,0.00,nan,0.00,nan
1,3,10.4,1,14.12,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,10.6,1,13.74,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,10.6,1,13.71,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,10.6,1,10.16,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,10.6,1,10.61,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,10.8,0,8.58,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,10.8,1,14.78,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,10.8,0,11.44,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,10.8,0,14.58,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,11.0,1,8.62,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,11.0,1,9.17,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,11.0,0,-4.10,0.00,0.00,nan,0.00,nan,0.00,nan
1,3,11.0,1,11.20,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,11.2,0,8.45,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,11.2,0,10.97,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,11.2,0,12.13,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,11.2,1,12.64,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,11.4,0,-0.12,0.00,0.00,nan,0.00,nan,0.00,nan
1,1,11.4,0,7.85,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,11.4,1,12.68,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,11.4,1,13.37,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,11.6,1,11.66,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,11.6,1,11.60,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,11.6,1,11.56,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,11.6,1,11.98,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,11.8,1,16.24,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,11.8,0,12.70,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,11.8,0,13.39,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,11.8,0,9.45,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,12.0,1,13.82,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,12.0,1,9.61,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,12.0,1,10.07,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,12.0,1,11.82,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,12.2,0,4.01,0.00,100.00,0.00,100.00,0.00,0.00,nan
1,1,12.2,0,7.01,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,12.2,0,10.13,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,12.2,0,7.92,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,12.4,1,12.52,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,12.4,1,12.74,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,12.4,1,8.64,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,12.4,1,10.68,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,12.6,0,6.26,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,12.6,1,10.03,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,12.6,0,9.66,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,12.6,0,5.59,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,12.8,1,11.01,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,12.8,1,13.35,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,12.8,1,13.91,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,12.8,1,13.59,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,13.0,0,1.46,0.00,100.00,0.00,0.00,nan,0.00,nan
1,1,13.0,1,8.15,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,13.0,0,8.46,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,13.0,1,7.58,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,13.2,1,12.11,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,13.2,0,14.67,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,13.2,0,9.04,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,13.2,1,8.77,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,13.4,1,11.32,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,13.4,1,8.53,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,13.4,1,8.74,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,13.4,1,13.48,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,13.6,1,8.23,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,13.6,1,11.25,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,13.6,0,10.08,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,13.6,1,13.26,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,13.8,1,9.13,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,13.8,0,4.27,0.00,100.00,0.00,100.00,0.00,0.00,nan
1,2,13.8,1,11.93,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,13.8,0,1.18,0.00,100.00,0.00,0.00,nan,0.00,nan
1,0,14.0,1,4.77,0.00,100.00,0.00,100.00,0.00,0.00,nan
1,1,14.0,0,8.41,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,14.0,1,9.61,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,14.0,1,8.75,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,14.2,1,13.75,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,14.2,0,-2.91,0.00,0.00,nan,0.00,nan,0.00,nan
1,2,14.2,1,10.88,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,14.2,1,6.70,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,14.4,1,5.51,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,14.4,1,9.84,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,14.4,1,8.54,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,14.4,1,6.68,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,14.6,1,10.32,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,14.6,1,5.89,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,14.6,1,8.60,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,14.6,1,9.14,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,14.8,1,10.26,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,14.8,1,10.92,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,14.8,1,8.30,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,14.8,1,11.17,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,15.0,0,3.41,0.00,100.00,0.00,100.00,0.00,0.00,nan
1,1,15.0,1,9.72,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,15.0,0,10.94,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,15.0,1,11.64,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,15.2,0,7.38,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,15.2,1,10.01,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,15.2,0,11.14,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,15.2,1,11.59,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,15.4,1,9.99,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,15.4,1,3.99,0.00,100.00,0.00,100.00,0.00,0.00,nan
1,2,15.4,1,7.46,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,15.4,1,5.90,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,15.6,1,12.42,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,15.6,1,8.09,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,2,15.6,1,8.16,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,3,15.6,1,8.64,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,0,15.8,1,11.04,0.00,100.00,0.00,100.00,0.00,100.00,0.00
1,1,15.8,0,9.71,0.00,100.00,0.00,100.00,0.00,100.00,0.00
