Subject,DetectionCount,Rank,Category
18,157,1.0,Good
23,156,2.0,Good
28,144,3.0,Good
56,138,4.0,Good
67,134,5.0,Good
3,130,6.0,Good
42,129,7.0,Good
25,127,8.0,Good
57,124,9.0,Good
66,121,10.5,Good
9,121,10.5,Good
19,119,12.0,Good
30,113,13.0,Good
70,110,14.0,Good
37,108,15.0,Good
16,106,16.0,Good
29,99,17.0,Good
51,98,18.0,Good
10,92,19.0,Good
49,84,20.0,Good
1,81,21.0,Good
8,78,22.0,Good
63,77,23.0,Mid
36,66,24.5,Mid
26,66,24.5,Mid
15,62,26.0,Mid
14,60,27.0,Mid
50,57,28.0,Mid
21,54,29.0,Mid
22,52,30.5,Mid
24,52,30.5,Mid
40,49,33.0,Mid
60,49,33.0,Mid
54,49,33.0,Mid
62,47,35.5,Mid
48,47,35.5,Mid
2,46,37.0,Mid
35,44,38.0,Mid
43,43,39.0,Mid
38,42,40.5,Mid
27,42,40.5,Mid
20,40,42.0,Mid
55,38,43.0,Mid
7,35,44.0,Mid
13,34,46.0,Mid
5,34,46.0,Mid
4,34,46.0,Mid
58,33,48.0,Mid
68,30,50.5,Bad
31,30,50.5,Bad
34,30,50.5,Bad
47,30,50.5,Bad
6,29,53.0,Bad
44,26,54.0,Bad
46,25,55.5,Bad
17,25,55.5,Bad
64,24,57.0,Bad
52,23,59.5,Bad
69,23,59.5,Bad
12,23,59.5,Bad
61,23,59.5,Bad
53,19,62.0,Bad
45,18,63.0,Bad
39,17,64.0,Bad
65,16,65.5,Bad
33,16,65.5,Bad
59,12,67.0,Bad
32,9,68.0,Bad
41,8,69.0,Bad
11,6,70.0,Bad
